"Timestamp (ms)","AnnotationId","EventType","AuthorId","Start Timestamp (ms)","Stop Timestamp (ms)","Value"
"1661797367260","","RECORDING","John  Franchak","1655223073881","1655223073881","sync"
"1661801464486","","RECORDING","John  Franchak","1655231460508","1655238715417","nap"
"1661802861515","","RECORDING","John  Franchak","1658248624829","1658248624829","sync"
"1661802983405","","RECORDING","John  Franchak","1658252704885","1658259969813","nap"
"1661803012838","","RECORDING","John  Franchak","1658271229981","1658273692717","sync"
"1661803209084","","RECORDING","John  Franchak","1661098096835","1661098096835","sync"
"1661803465804","","RECORDING","John  Franchak","1661102909855","1661133563856","exclude"
"1661292756484","","SYSTEM:SENSOR_UNAPPLIED:OKQY3EM6","IMUL 111","1661292755875","1661292755875",""
